metric,median,p5,p95
annualized_return,0.02906311937662298,-0.005396913252333734,0.06369522577058957
annualized_vol,0.06471259129555115,0.060260503713400464,0.07018223542557486
sharpe,-0.16902920769171634,-0.6929807327313715,0.36707889224440987
sortino,-0.23607122923832452,-0.9390961541896704,0.5330881083410064
max_drawdown,0.1430734453612375,0.08642021973049974,0.254397871929293
calmar,0.20087749738079505,-0.024166459355842437,0.6578754154222637
skewness,-0.01380708180955438,-0.7367207825719853,0.6633040535831811
kurtosis,3.1233836393488006,1.4881507319789546,19.531550041263582
var_95,-0.006263565847883283,,
var_99,-0.010346695115173494,,
cvar_95,-0.008930851056792545,,
cvar_99,-0.013709850603681462,,
